Feature,Importance
x_47,0.0005352190362619097
eye_lmk_y_34,0.0005223147066570373
eye_lmk_Z_21,0.0005110906303310981
X_60,0.0005076317889699108
Z_29,0.0005039068575734648
Z_44,0.0004949224069979444
eye_lmk_x_52,0.0004943865162069091
Z_39,0.0004923352372496157
Z_7,0.0004918280813791769
Z_41,0.0004879235482268374
Z_46,0.0004875433472936421
y_21,0.000486248828141178
AU04_c,0.0004749480520198775
Z_36,0.00046862056346506453
eye_lmk_x_50,0.00046110598516856013
Y_25,0.00044775056159808814
eye_lmk_x_49,0.000444029171934
x_65,0.0004429518612077391
eye_lmk_Z_15,0.000435421781770208
X_33,0.0004351539151836213
eye_lmk_X_13,0.00043501991096009927
Z_35,0.00043016416018553223
eye_lmk_x_37,0.00042126276583154195
eye_lmk_Y_7,0.00041324521964610926
Y_49,0.0004114234385182619
eye_lmk_Y_53,0.00041125682736292793
p_17,0.00040963675866037113
pose_Ty,0.0004078565689537533
Y_11,0.00040591782593149724
eye_lmk_X_28,0.0004017402749224636
p_7,0.0003984740615931411
Z_63,0.00039710180470852526
eye_lmk_Y_38,0.00039449984596514205
Y_43,0.0003898060759338524
x_26,0.0003893229087360807
x_27,0.00038347296810211886
eye_lmk_x_28,0.0003806051761098131
eye_lmk_Y_27,0.0003794123894778717
Z_45,0.0003695374773970471
eye_lmk_y_39,0.000368679506923298
x_28,0.0003661408336215955
gaze_0_z,0.0003586836921404228
AU26_r,0.0003525429572623294
Y_15,0.0003488538514293057
Y_13,0.00034719742486129674
AU10_c,0.0003471333405184145
eye_lmk_Y_4,0.0003397997544460345
x_60,0.0003382066494276331
AU07_r,0.0003367634420952289
eye_lmk_y_33,0.00033328155732563524
p_27,0.0003328058449484799
eye_lmk_X_20,0.0003293803137670444
Y_7,0.0003235921720535042
eye_lmk_Z_14,0.00031575678860389566
eye_lmk_X_34,0.0003113025772168525
p_9,0.0003112016521250424
p_5,0.00030693602318325133
x_17,0.00029505432534632827
Y_55,0.00029456957896451414
Z_59,0.0002915678692126226
Z_17,0.0002915447008929147
AU05_c,0.0002848151161047822
eye_lmk_x_51,0.00028402315597569715
eye_lmk_x_40,0.0002827982027116707
Z_32,0.00028034100744882485
eye_lmk_Z_16,0.000276680740184069
Z_42,0.0002759108776548022
Z_23,0.00027297700531152806
eye_lmk_Y_0,0.00026854287190147477
p_23,0.0002684276096684607
eye_lmk_y_18,0.0002656181678992628
eye_lmk_y_43,0.00026228753036139287
eye_lmk_y_36,0.0002619104490269753
eye_lmk_x_11,0.0002609734567200434
eye_lmk_X_26,0.00026060766692518293
eye_lmk_x_29,0.00025013257621360057
y_46,0.0002452630283282636
Z_6,0.00024241544902919924
eye_lmk_Z_0,0.00023871119978615538
y_47,0.0002314033969187996
p_25,0.0002300341907963646
eye_lmk_x_1,0.00022948218955630068
x_37,0.0002286925786505867
gaze_angle_y,0.00022651808912055974
Y_9,0.00022225586982633542
eye_lmk_X_4,0.00021819013721040382
y_45,0.00021735527464721298
eye_lmk_x_10,0.00021534095813342718
Z_38,0.00021392861773156184
eye_lmk_y_35,0.000209233758249695
X_21,0.00020031332439499733
x_49,0.00019789083411158502
eye_lmk_Y_48,0.00019694815197577616
x_41,0.00019612342387642244
eye_lmk_X_39,0.00019081366481768673
Y_63,0.0001887476300237832
eye_lmk_Y_11,0.00018840862058290233
X_28,0.0001854240407446311
eye_lmk_y_12,0.00018315454761068265
eye_lmk_X_38,0.0001797790451074044
eye_lmk_x_36,0.0001752887908582203
eye_lmk_Z_3,0.00017338166173762627
Y_53,0.00017315321835433123
AU02_r,0.00017164195659473167
X_32,0.0001707886443464359
X_8,0.0001678614267753867
Z_51,0.00016602929987678483
Z_37,0.00016602418180473435
eye_lmk_Z_49,0.00016255311379412146
gaze_0_y,0.000160598846501377
eye_lmk_Y_36,0.00015822729532430235
eye_lmk_Y_18,0.00015722932452483083
p_20,0.0001545877392593397
eye_lmk_Y_35,0.000153061623518759
eye_lmk_Y_33,0.00015112764996857536
AU15_r,0.0001510627853894395
eye_lmk_x_38,0.00014958218451052287
Y_67,0.0001465117313163452
eye_lmk_X_55,0.00014641867209296168
x_2,0.0001461278344037759
Y_56,0.0001455576369898991
eye_lmk_Y_25,0.0001442175755043454
eye_lmk_X_35,0.00014324272764610488
eye_lmk_X_25,0.00014251608097565427
eye_lmk_x_21,0.00014116752861425012
eye_lmk_X_21,0.00013652918477106925
p_32,0.00013604925067316507
Y_59,0.00013563644565339227
x_19,0.00013558858840278864
eye_lmk_Y_52,0.00013300308898029717
eye_lmk_x_46,0.00013290396833123052
Z_47,0.00013262671575689378
Y_54,0.00013250840453942934
Z_58,0.00012607863771062517
eye_lmk_x_4,0.00012552321992685507
eye_lmk_Z_48,0.00012501116644918843
eye_lmk_x_44,0.00012458712198029363
y_23,0.00012420044096863746
AU23_c,0.00012205136211658395
x_21,0.00011967877517346528
eye_lmk_Y_54,0.00011863291518229368
AU05_r,0.00011755536200171365
x_6,0.0001173685100419727
AU17_r,0.0001171101779979952
Z_20,0.00011611943925772734
eye_lmk_X_41,0.0001159760640916202
Z_62,0.00011372313563710861
gaze_1_z,0.00011261692795812569
Y_44,0.00011232939099264642
eye_lmk_Y_44,0.0001114699984657885
eye_lmk_Z_30,0.0001114071967724266
eye_lmk_X_11,0.0001109709426232907
eye_lmk_x_18,0.0001102635490873072
Y_2,0.00010962192304122478
AU45_c,0.00010795192671001829
x_36,0.00010764416206866273
eye_lmk_Y_6,0.00010688714854626178
x_34,0.00010285213574275974
Z_65,9.748826850970558e-05
AU01_r,9.50852830702751e-05
eye_lmk_Y_10,9.507581653986519e-05
eye_lmk_X_51,9.427244267262125e-05
p_1,9.392178079874e-05
eye_lmk_X_30,9.364573394626081e-05
x_43,9.329682536134777e-05
Y_36,9.263949353198701e-05
p_16,9.193209451983263e-05
p_14,9.184335177488753e-05
x_46,9.102360634955599e-05
eye_lmk_X_0,8.863660838293052e-05
eye_lmk_Y_43,8.759391177759337e-05
eye_lmk_x_47,8.679888568384062e-05
eye_lmk_X_17,8.638322739737041e-05
eye_lmk_y_55,8.598266397760981e-05
eye_lmk_Z_55,8.377339331938452e-05
X_52,8.32150436612341e-05
eye_lmk_Y_20,8.130183766979492e-05
eye_lmk_Y_12,8.059081696012074e-05
X_17,7.944949049168173e-05
eye_lmk_X_14,7.913316661164259e-05
X_51,7.878650766688928e-05
eye_lmk_Z_7,7.795589754246236e-05
X_31,7.788754441089818e-05
eye_lmk_X_29,7.786352111046619e-05
Y_40,7.773209443429535e-05
eye_lmk_y_3,7.735895915605231e-05
eye_lmk_x_16,7.725975346001331e-05
eye_lmk_Z_38,7.632585102507833e-05
eye_lmk_Y_15,7.366091967871081e-05
eye_lmk_x_32,7.365136682782494e-05
Y_10,7.110154111318752e-05
Y_65,7.087546470740706e-05
p_21,7.022047620755017e-05
eye_lmk_Z_2,6.956958583943409e-05
gaze_1_y,6.704284199205423e-05
eye_lmk_x_33,6.50674333349318e-05
eye_lmk_Y_34,6.424462342203404e-05
X_20,6.400540778797965e-05
eye_lmk_Z_44,6.344687416570281e-05
eye_lmk_Z_9,6.336617790853175e-05
Y_3,6.316492426586986e-05
eye_lmk_x_45,6.309698700997196e-05
x_20,6.255029610143896e-05
Y_5,6.23944848420299e-05
AU20_c,6.222846761796814e-05
eye_lmk_Y_28,6.206445122524716e-05
Z_0,6.15553269006209e-05
y_29,6.14849045151629e-05
x_39,5.957060631020315e-05
eye_lmk_Y_47,5.9547600863009905e-05
X_26,5.9454790005770854e-05
eye_lmk_x_14,5.898054427868699e-05
eye_lmk_x_20,5.773279737365521e-05
eye_lmk_Z_1,5.772567877330866e-05
y_42,5.7180330756202156e-05
Y_39,5.608529508280441e-05
x_30,5.391148807571658e-05
Y_42,5.245571995817754e-05
x_67,5.172970327730333e-05
eye_lmk_x_39,5.080108295161165e-05
eye_lmk_Z_22,5.006954391136429e-05
x_40,4.978095960300495e-05
eye_lmk_Y_46,4.974525727065087e-05
eye_lmk_X_50,4.800325742595124e-05
Y_12,4.7523124658174874e-05
X_0,4.7435988654860137e-05
eye_lmk_y_2,4.7053201143264295e-05
X_42,4.691180981258627e-05
X_27,4.679290238243207e-05
X_29,4.6680760486214794e-05
eye_lmk_Z_10,4.641939761452572e-05
eye_lmk_Y_5,4.5644606231718876e-05
eye_lmk_x_53,4.499089174592633e-05
eye_lmk_Z_27,4.4882291789462135e-05
X_3,4.458542079221457e-05
eye_lmk_Y_1,4.3965745692245125e-05
eye_lmk_Y_24,4.356255680493384e-05
eye_lmk_Z_28,4.341734891310611e-05
eye_lmk_X_12,4.333739550986782e-05
x_33,4.325798488844196e-05
eye_lmk_X_52,4.300695463450736e-05
eye_lmk_X_16,4.233270726900102e-05
eye_lmk_X_40,4.17346706278424e-05
eye_lmk_Y_31,4.103522376903672e-05
eye_lmk_X_49,4.005744952943367e-05
eye_lmk_x_31,3.920701685782699e-05
eye_lmk_x_55,3.6878826630102166e-05
eye_lmk_X_10,3.622354681269233e-05
eye_lmk_X_18,3.469160945015308e-05
gaze_1_x,3.184106944474549e-05
eye_lmk_Y_55,3.170647436219947e-05
y_44,3.165944233902273e-05
x_0,3.1646470192889664e-05
Y_30,3.1569631685928346e-05
X_61,3.1432765849121615e-05
X_1,3.123575852027667e-05
eye_lmk_y_42,3.105378211159979e-05
X_41,3.065103201423061e-05
eye_lmk_Y_42,3.0462241863172066e-05
eye_lmk_X_22,3.01556188922091e-05
eye_lmk_X_3,2.995515569634792e-05
eye_lmk_Y_39,2.9875618145699355e-05
x_51,2.94700796784961e-05
p_30,2.9251920363102674e-05
eye_lmk_x_30,2.9162434791821395e-05
X_39,2.9123065814196485e-05
X_19,2.898869262778341e-05
eye_lmk_X_6,2.7932456665605595e-05
x_62,2.7792356013867472e-05
X_66,2.720311115782519e-05
x_56,2.69323059603655e-05
eye_lmk_Y_45,2.4425186866734025e-05
eye_lmk_X_31,2.414826182365562e-05
eye_lmk_x_34,2.3937213865271417e-05
x_66,2.2880815540616577e-05
eye_lmk_y_51,2.1992202394111445e-05
Y_35,2.1737896916601864e-05
eye_lmk_Z_24,2.1465121621027216e-05
eye_lmk_Y_23,2.1401756581332517e-05
eye_lmk_x_23,2.1264460753222832e-05
X_5,1.9178462365518358e-05
eye_lmk_X_46,1.8897644101078197e-05
p_12,1.621164046375013e-05
eye_lmk_X_42,1.610254003637004e-05
eye_lmk_Y_2,1.6057780711358712e-05
Z_53,1.5912610135066967e-05
eye_lmk_y_23,1.587137836432058e-05
eye_lmk_Y_26,1.5865149557155588e-05
eye_lmk_X_33,1.584156406117166e-05
eye_lmk_Y_22,1.5794778436781802e-05
eye_lmk_Y_3,1.5783477930668695e-05
eye_lmk_Y_17,1.5779972395992776e-05
eye_lmk_x_35,1.5723579231619007e-05
AU06_c,1.5686902180182952e-05
gaze_angle_x,1.567543493264489e-05
Y_31,1.5663571268185926e-05
X_45,1.562536056458453e-05
x_29,1.5568919587168407e-05
